,accuracy,tn,fp,fn,tp,roc_auc,sensitivity,specificity,precision
1,0.8860868811607361,108472,7859,7838,13629,0.7836621403694153,0.6348814459402804,0.9324427710584453,0.6342609828741623
2,0.9006444215774536,113458,2873,10818,10649,0.7356834411621094,0.49606372571854473,0.9753032295776706,0.7875314302617956
3,0.8995195627212524,110634,5697,8149,13318,0.7857109308242798,0.6203940932594214,0.9510276710421126,0.7003944254535893
4,0.9027706980705261,113107,3224,10174,11293,0.7491745948791504,0.5260632598872689,0.9722859770826349,0.7779155472893848
5,0.9016095995903015,111356,4975,8583,12884,0.7787055373191833,0.6001770158848465,0.9572340992512743,0.7214289713869757
6,0.9021538496017456,112949,3382,10101,11366,0.7501957416534424,0.5294638282014255,0.9709277836518211,0.7706807702739354
7,0.9005863666534424,111570,4761,8938,12529,0.7713568210601807,0.5836400055899753,0.9590736776955412,0.7246385193753615
8,0.8999114632606506,112770,3561,10231,11236,0.7463985085487366,0.5234080216145712,0.9693890708409624,0.7593431100898831
9,0.8987866044044495,111712,4619,9328,12139,0.7628834247589111,0.5654725858294126,0.9602943325510827,0.7243704499343597
10,0.8981842994689941,112714,3617,10413,11054,0.7419188022613525,0.5149298923929753,0.9689076858275094,0.753459205234817
11,0.8970304131507874,111791,4540,9649,11818,0.7557464241981506,0.5505194018726417,0.9609734292664895,0.7224599584301259
12,0.8963918089866638,112685,3646,10631,10836,0.736716628074646,0.5047747705780966,0.9686583971598284,0.7482391934815633
13,0.8959419131278992,111886,4445,9894,11573,0.7504483461380005,0.5391065356128011,0.9617900645571688,0.7224996878511675
14,0.8953976035118103,112646,3685,10729,10738,0.7342664003372192,0.5002096240741604,0.9683231468826022,0.7445053040282882
15,0.8948533535003662,111968,4363,10126,11341,0.74539715051651,0.5282992500116458,0.9624949497554393,0.7221726948548141
16,0.8943743705749512,112639,3692,10863,10604,0.7311152815818787,0.4939674849769414,0.9682629737559206,0.7417459429210969
17,0.8936559557914734,112007,4324,10330,11137,0.7408131957054138,0.5187962919830438,0.9628302000326654,0.7203285686566199
18,0.8931334018707275,112580,3751,10975,10492,0.7282530069351196,0.4887501746867285,0.9677558002596041,0.7366425612581619
19,0.8923423886299133,112012,4319,10516,10951,0.7365025281906128,0.5101318302510831,0.962873180837438,0.7171578258022265
20,0.8917545676231384,112570,3761,11155,10312,0.7240175604820251,0.4803652117203149,0.9676698386500588,0.7327506572870035
21,0.8911232352256775,112044,4287,10716,10751,0.7319816946983337,0.5008152047328458,0.9631482579879825,0.7149221971006783
22,0.8910579085350037,112596,3735,11277,10190,0.721287727355957,0.47468207015419017,0.9678933388348764,0.7317773788150808
23,0.8906587958335876,112135,4196,10871,10596,0.728762686252594,0.49359481995621185,0.9639305086348436,0.7163331530557058
24,0.8903249502182007,112645,3686,11427,10040,0.718004584312439,0.4676946010155122,0.9683145507216477,0.7314585458254408
25,0.8900201916694641,112180,4151,11004,10463,0.7258582711219788,0.48739926398658406,0.964317335877797,0.7159573012180102
