,precision,recall,f1-score,support
0,0.8659866402425516,0.9825047086815347,0.9205733661548786,290421.0
1,0.6612440829388626,0.1834119278779473,0.28717028114775456,54075.0
accuracy,0.8570723607821281,0.8570723607821281,0.8570723607821281,0.8570723607821281
macro avg,0.7636153615907071,0.582958318279741,0.6038718236513165,344496.0
weighted avg,0.8338485202463921,0.8570723607821281,0.821149071470005,344496.0
