loss,accuracy,val_loss,val_accuracy,lr
0.6297333836555481,0.6495286822319031,0.6102006435394287,0.682170569896698,0.001
0.5546481609344482,0.7463581562042236,0.5534946918487549,0.6976743936538696,0.001
0.5183638334274292,0.7617823481559753,0.522277295589447,0.7364341020584106,0.001
0.4920312166213989,0.7823479175567627,0.5017749071121216,0.7751938104629517,0.001
0.47215044498443604,0.791773796081543,0.4899786114692688,0.7596899271011353,0.001
0.46644672751426697,0.7977720499038696,0.46109312772750854,0.7596899271011353,0.001
0.4473527669906616,0.791773796081543,0.4719240069389343,0.7596899271011353,0.001
0.44353818893432617,0.792630672454834,0.44606250524520874,0.8139534592628479,0.001
0.4285953938961029,0.8106255531311035,0.4432840347290039,0.7829457521438599,0.001
0.4178403913974762,0.8226221203804016,0.4437231719493866,0.7751938104629517,0.001
