,precision,recall,f1-score,support
0,0.864111456155826,0.9849563220290544,0.9205850123178273,290421.0
1,0.6754086181277861,0.16811835413777163,0.2692233656622492,54075.0
accuracy,0.8567385397798523,0.8567385397798523,0.8567385397798523,0.8567385397798523
macro avg,0.7697600371418061,0.576537338083413,0.5949041889900383,344496.0
weighted avg,0.8344910658860805,0.8567385397798523,0.8183417902110384,344496.0
