,precision,recall,f1-score,support
0,0.864195664661245,0.9842607800400108,0.920328852156583,290421.0
1,0.6669823692262858,0.16930189551548774,0.2700550139378475,54075.0
accuracy,0.8563379545771214,0.8563379545771214,0.8563379545771214,0.8563379545771214
macro avg,0.7655890169437654,0.5767813377777493,0.5951919330472153,344496.0
weighted avg,0.8332394011613918,0.8563379545771214,0.8182563816440717,344496.0
