loss,accuracy,precision_123,recall_123,val_loss,val_accuracy,val_precision_123,val_recall_123
0.6027605533599854,0.8404170870780945,0.3737535774707794,0.03802560642361641,0.5611206293106079,0.8450518846511841,0.5193985104560852,0.032275546342134476
0.5368987321853638,0.8465038537979126,0.5907086730003357,0.04373935982584953,0.5156822204589844,0.8478821516036987,0.645263135433197,0.04582492262125015
0.5000013709068298,0.8490383625030518,0.6444519758224487,0.06630285084247589,0.48561862111091614,0.8504481911659241,0.6458761096000671,0.08224938064813614
0.47463712096214294,0.8510013818740845,0.6628689169883728,0.0861610546708107,0.4642128348350525,0.8521260023117065,0.6658051013946533,0.0962846651673317
0.45618736743927,0.8525108098983765,0.6734011769294739,0.10105179995298386,0.44838273525238037,0.8531796932220459,0.6762122511863708,0.10503102093935013
0.4423713982105255,0.853561282157898,0.679302990436554,0.11137153208255768,0.43645137548446655,0.8536790013313293,0.6846053004264832,0.10746056586503983
0.4318264126777649,0.8543413877487183,0.681697428226471,0.11969728767871857,0.42713236808776855,0.8550781607627869,0.6824895739555359,0.12521491944789886
0.4236230254173279,0.8552992939949036,0.6845926642417908,0.12973716855049133,0.41992875933647156,0.8556761145591736,0.6812398433685303,0.13308289647102356
0.41719281673431396,0.8556349873542786,0.6797233819961548,0.1363837718963623,0.414172887802124,0.8561405539512634,0.6769106984138489,0.14119383692741394
0.41201749444007874,0.8558653593063354,0.6758021116256714,0.1414678543806076,0.4095067083835602,0.8562276363372803,0.6715530157089233,0.14554832875728607
0.4077819585800171,0.8560195565223694,0.6719716191291809,0.14573568105697632,0.4056665897369385,0.8561579585075378,0.6723912358283997,0.14414666593074799
0.40425267815589905,0.8560667634010315,0.6673614978790283,0.14932717382907867,0.4023989140987396,0.8563814759254456,0.6630276441574097,0.15322943031787872
0.4012402296066284,0.856148362159729,0.6641790866851807,0.15255719423294067,0.3996637165546417,0.8566398620605469,0.6551231145858765,0.1626298874616623
0.39862799644470215,0.8561973571777344,0.6602358222007751,0.15603208541870117,0.39717042446136475,0.8566775918006897,0.6591959595680237,0.1599573940038681
0.396339476108551,0.8563479781150818,0.6594898700714111,0.158585786819458,0.39502158761024475,0.8566340208053589,0.6616435050964355,0.1575465351343155
0.3943116366863251,0.856360673904419,0.657362699508667,0.16038154065608978,0.3930770456790924,0.8568168878555298,0.6552107930183411,0.16496598720550537
0.3924674689769745,0.856460452079773,0.6558685302734375,0.16290025413036346,0.3913393020629883,0.8567994832992554,0.6501942276954651,0.16892801225185394
0.3907913863658905,0.8564459085464478,0.6529661417007446,0.1650574803352356,0.3897351026535034,0.8567211031913757,0.6470963358879089,0.17055393755435944
0.38926753401756287,0.8562880754470825,0.6495863199234009,0.16571049392223358,0.38825663924217224,0.8567153215408325,0.6458054780960083,0.1716378927230835
0.38785091042518616,0.8563534021377563,0.6486828327178955,0.1674012988805771,0.3868905007839203,0.8566108345985413,0.643051028251648,0.1726844608783722
