,precision,recall,f1-score,support
0,0.8490336674829548,0.9956304812668505,0.9165069961821717,290421.0
1,0.6770992366412214,0.049209431345353674,0.09175071114559089,54075.0
accuracy,0.8470722446704751,0.8470722446704751,0.8470722446704751,0.8470722446704751
macro avg,0.7630664520620881,0.522419956306102,0.5041288536638813,344496.0
weighted avg,0.8220453879448275,0.8470722446704751,0.7870462880364949,344496.0
