,precision,recall,f1-score,support
0,0.8504267698396291,0.9914778889956305,0.9155515563320832,290421.0
1,0.5809346427362004,0.06344891354600092,0.11440289424984579,54075.0
accuracy,0.8458066276531513,0.8458066276531513,0.8458066276531513,0.8458066276531513
macro avg,0.7156807062879147,0.5274634012708157,0.5149772252909645,344496.0
weighted avg,0.8081250108261198,0.8458066276531513,0.7897964999537885,344496.0
