loss,accuracy,precision_324,recall_324,val_loss,val_accuracy,val_precision_324,val_recall_324
0.6687548756599426,0.7256369590759277,0.16517843306064606,0.1883089691400528,0.6263394355773926,0.8435337543487549,0.4338037669658661,0.024127233773469925
0.6045663952827454,0.8435647487640381,0.44758063554763794,0.023298118263483047,0.5820375680923462,0.8440417051315308,0.4625128507614136,0.025248561054468155
0.5594347715377808,0.8447240591049194,0.5259484052658081,0.020208027213811874,0.5359368920326233,0.8455715179443359,0.5846154093742371,0.019884876906871796
0.5131688117980957,0.8468177318572998,0.6485759019851685,0.03372280299663544,0.4901074171066284,0.8479720950126648,0.6766262054443359,0.04062943905591965
0.46931400895118713,0.8489149808883667,0.6845707297325134,0.05365097150206566,0.4491322636604309,0.8502217531204224,0.6961791515350342,0.0633363202214241
0.4333984851837158,0.8508380651473999,0.6982420682907104,0.07271625101566315,0.4188488721847534,0.8521143794059753,0.6897777915000916,0.08701502531766891
0.408645361661911,0.8524273633956909,0.7009005546569824,0.08984584361314774,0.3993874490261078,0.8533945083618164,0.7029328346252441,0.0972004160284996
0.3935866951942444,0.8536556363105774,0.6943385004997253,0.10611254721879959,0.3882210850715637,0.8543669581413269,0.6979833841323853,0.10996486246585846
0.38524147868156433,0.8545754551887512,0.6921704411506653,0.11762168258428574,0.3822196125984192,0.8554729223251343,0.6761056780815125,0.13341930508613586
0.3806685507297516,0.8550253510475159,0.6828840970993042,0.1273350566625595,0.3789256513118744,0.8550142645835876,0.6965014934539795,0.11794497817754745
0.3779377043247223,0.8551052212715149,0.675815999507904,0.13206930458545685,0.37653040885925293,0.8556209802627563,0.6785376071929932,0.13388651609420776
0.37616080045700073,0.8551487326622009,0.6698432564735413,0.1360572725534439,0.3750309646129608,0.8558212518692017,0.678941011428833,0.13611048460006714
0.3748280704021454,0.8553211092948914,0.6696005463600159,0.13838942348957062,0.37387213110923767,0.8557689785957336,0.6778367161750793,0.13609179854393005
0.3737148344516754,0.8553809523582458,0.6679073572158813,0.14019683003425598,0.37282076478004456,0.8560012578964233,0.662446916103363,0.14865067601203918
0.3727087080478668,0.8554643988609314,0.6671239733695984,0.14175936579704285,0.37195301055908203,0.8560883402824402,0.6569511890411377,0.15375271439552307
0.37177547812461853,0.8555224537849426,0.6677994132041931,0.14207421243190765,0.37084677815437317,0.8559460639953613,0.6703528165817261,0.1427450031042099
0.37084415555000305,0.8555061221122742,0.6669397354125977,0.14241236448287964,0.3699502646923065,0.8554932475090027,0.6718317866325378,0.13612917065620422
0.36992257833480835,0.8554825782775879,0.6657970547676086,0.1428438127040863,0.3691219687461853,0.856126070022583,0.658342719078064,0.15322943031787872
0.36899954080581665,0.8554698824882507,0.666193962097168,0.14242403209209442,0.3681246340274811,0.8561841249465942,0.6654976606369019,0.14894968271255493
0.3681092858314514,0.8555678129196167,0.6663240194320679,0.14360176026821136,0.3671974837779999,0.8556238412857056,0.6705563068389893,0.13854002952575684
