,precision,recall,f1-score,support
0,0.8766487779141028,0.9668791168682705,0.919555813169072,290421.0
1,0.6022412438489848,0.269329634766528,0.37220475861892716,54075.0
accuracy,0.8573858622451349,0.8573858622451349,0.8573858622451349,0.8573858622451349
macro avg,0.7394450108815438,0.6181043758173993,0.6458802858939996,344496.0
weighted avg,0.8335754551336605,0.8573858622451349,0.8336389715372414,344496.0
