,precision,recall,f1-score,support
0,0.874378570898568,0.9738138770956646,0.9214213455965362,290421.0
1,0.6386830102622577,0.2485991678224688,0.3578930553891618,54075.0
accuracy,0.8599780548975895,0.8599780548975895,0.8599780548975895,0.8599780548975895
macro avg,0.7565307905804128,0.6112065224590667,0.639657200492849,344496.0
weighted avg,0.8373818062295777,0.8599780548975895,0.8329651885062833,344496.0
