,precision,recall,f1-score,support
0,0.8465631358607947,0.9970766576797132,0.9156759850555829,290421.0
1,0.6520491803278688,0.029422098936662044,0.05630363620277803,54075.0
accuracy,0.8451854303097859,0.8451854303097859,0.8451854303097859,0.8451854303097859
macro avg,0.7493061580943318,0.5132493783081876,0.48598981062918045,344496.0
weighted avg,0.8160305835366952,0.8451854303097859,0.7807816473442148,344496.0
