,precision,recall,f1-score,support
0,0.8597195709957657,0.9878452315776063,0.9193397465888189,290421.0
1,0.6729361623274345,0.1343134535367545,0.22393167663562927,54075.0
accuracy,0.8538676791602805,0.8538676791602805,0.8538676791602805,0.8538676791602805
macro avg,0.7663278666616,0.5610793425571804,0.571635711612224,344496.0
weighted avg,0.8304004705599405,0.8538676791602805,0.8101826260918648,344496.0
