,precision,recall,f1-score,support
0,0.8683550897836612,0.9757524421443353,0.9189264561150916,290421.0
1,0.612139237717559,0.20552935737401756,0.3077349060652628,54075.0
accuracy,0.8548517254191631,0.8548517254191631,0.8548517254191631,0.8548517254191631
macro avg,0.7402471637506101,0.5906408997591764,0.6133306810901772,344496.0
weighted avg,0.828137286963093,0.8548517254191631,0.8229886714414103,344496.0
