,precision,recall,f1-score,support
0,0.8670822851504206,0.9803113411220263,0.9202268382121219,290421.0
1,0.6459442724458204,0.19291724456773002,0.29710217159131364,54075.0
accuracy,0.8567153174492592,0.8567153174492592,0.8567153174492592,0.8567153174492592
macro avg,0.7565132787981206,0.5866142928448782,0.6086645049017178,344496.0
weighted avg,0.8323705960829096,0.8567153174492592,0.8224159308357801,344496.0
