loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
0.6689304113388062,0.7947978377342224,0.14772258698940277,0.0668625682592392,0.6396573781967163,0.8421316742897034,0.40644335746765137,0.0356021523475647
0.6204820871353149,0.843621015548706,0.4536978304386139,0.024965601041913033,0.6015998721122742,0.8448429107666016,0.5306122303009033,0.009232264012098312
0.5826565027236938,0.8451105356216431,0.599071204662323,0.01353809516876936,0.5626002550125122,0.8463378548622131,0.6664726138114929,0.021398669108748436
0.5411880612373352,0.8465056419372559,0.68436199426651,0.024953940883278847,0.5183048248291016,0.8478879332542419,0.6909530162811279,0.037396278232336044
0.49604448676109314,0.8479480147361755,0.6909803748130798,0.04109237715601921,0.47448474168777466,0.849214494228363,0.7003332376480103,0.051057785749435425
0.45677682757377625,0.8493757843971252,0.6961135864257812,0.056601133197546005,0.4400358498096466,0.8512551784515381,0.67848140001297,0.08049263805150986
0.4271041452884674,0.8513079881668091,0.7041254639625549,0.07642436027526855,0.4154317080974579,0.8522073030471802,0.7141677737236023,0.08082903176546097
0.40742042660713196,0.8527902364730835,0.7063924670219421,0.0921313464641571,0.39992469549179077,0.8537399768829346,0.6946384310722351,0.10411527007818222
0.3951270878314972,0.853706419467926,0.696636974811554,0.10579770803451538,0.39039748907089233,0.8545817732810974,0.6885916590690613,0.11641249805688858
0.3876689374446869,0.8544756770133972,0.690453290939331,0.11722521483898163,0.38482430577278137,0.8553016781806946,0.6789906024932861,0.12973761558532715
0.38323286175727844,0.8548457622528076,0.682539701461792,0.12535274028778076,0.3812781870365143,0.8553277850151062,0.6786096692085266,0.1302608996629715
0.3804401755332947,0.8550670742988586,0.67789626121521,0.13046012818813324,0.37901362776756287,0.855644166469574,0.6786457300186157,0.13411079347133636
0.37850427627563477,0.8552521467208862,0.6756232380867004,0.13399332761764526,0.37778085470199585,0.856404721736908,0.6607767939567566,0.15515436232089996
0.3771616518497467,0.8554190397262573,0.6724275350570679,0.1379229873418808,0.3762214779853821,0.8560970425605774,0.6675183176994324,0.14648276567459106
0.3760537803173065,0.8554245233535767,0.6700476408004761,0.13942722976207733,0.37525731325149536,0.8556413054466248,0.6805621981620789,0.1330268383026123
0.3750951290130615,0.8555442690849304,0.6705019474029541,0.1406632661819458,0.3742876350879669,0.8557748198509216,0.6751580834388733,0.13769903779029846
0.37426623702049255,0.855527937412262,0.6689651608467102,0.14140954613685608,0.3733927011489868,0.8559025526046753,0.6684673428535461,0.14338043332099915
0.37337344884872437,0.8556004762649536,0.668525218963623,0.1426105946302414,0.3726227879524231,0.8562421798706055,0.6617933511734009,0.15227629244327545
0.37255576252937317,0.8555442690849304,0.666702926158905,0.14305371046066284,0.37179034948349,0.8557080626487732,0.6742799282073975,0.13738133013248444
0.37171608209609985,0.8555097579956055,0.6659071445465088,0.14312367141246796,0.37087470293045044,0.8559141755104065,0.6618987917900085,0.14788442850112915
