loss,accuracy,val_loss,val_accuracy,lr
0.6533142924308777,0.6066837906837463,0.52976393699646,0.7906976938247681,0.001
0.5226519703865051,0.7540702819824219,0.4644734561443329,0.7751938104629517,0.001
0.4726561903953552,0.7866324186325073,0.44427376985549927,0.8062015771865845,0.001
0.44215211272239685,0.7952013611793518,0.4170853793621063,0.8139534592628479,0.001
0.4150903522968292,0.8054841756820679,0.4156791567802429,0.7984496355056763,0.001
0.3969273567199707,0.8234789967536926,0.39753222465515137,0.8062015771865845,0.001
0.3849990665912628,0.8243359327316284,0.38179245591163635,0.8139534592628479,0.001
0.3693690299987793,0.8397600650787354,0.36080724000930786,0.8372092843055725,0.001
0.3586932122707367,0.843187689781189,0.3538162410259247,0.8294573426246643,0.001
0.3483578860759735,0.8534704446792603,0.34001266956329346,0.8449612259864807,0.001
