loss,accuracy,val_loss,val_accuracy,lr
0.670852780342102,0.5972579121589661,0.5414135456085205,0.7596899271011353,0.001
0.5352272987365723,0.7463581562042236,0.45929205417633057,0.8294573426246643,0.001
0.4823538362979889,0.7797772288322449,0.4284913241863251,0.8217054009437561,0.001
0.4473159909248352,0.791773796081543,0.4059703052043915,0.8217054009437561,0.001
0.421983540058136,0.8071979284286499,0.380519300699234,0.8604651093482971,0.001
0.40358445048332214,0.8200514316558838,0.39214324951171875,0.8294573426246643,0.001
0.3912535011768341,0.8243359327316284,0.37588387727737427,0.8294573426246643,0.001
0.3764449954032898,0.843187689781189,0.3736577033996582,0.8217054009437561,0.001
0.36994948983192444,0.8311910629272461,0.3495914936065674,0.8527131676673889,0.001
0.35791832208633423,0.843187689781189,0.3575325012207031,0.8294573426246643,0.001
